Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
8,xavier,none,0.5,16,1.0,0.0,6.0
8,xavier,none,0.5,32,1.0,0.0,4.02
8,xavier,none,0.5,64,1.0,0.0,2.63
128,xavier,none,0.5,8,1.0,0.0,10.5
128,xavier,none,0.01,8,1.0,0.0,10.1
128,xavier,none,0.01,16,1.0,0.0,6.6
128,xavier,none,0.01,32,1.0,0.0,5.15
128,xavier,none,0.01,64,1.0,0.0,4.5
128,xavier,none,0.1,8,1.0,0.0,10.15
128,xavier,none,0.1,16,1.0,0.0,6.78
128,xavier,none,0.1,32,1.0,0.0,5.44
128,xavier,none,0.1,64,1.0,0.0,4.52
128,normal,z-score,0.1,8,1.0,0.0,10.08
128,normal,z-score,0.1,16,1.0,0.0,6.68
128,normal,z-score,0.1,32,1.0,0.0,5.38
128,normal,z-score,0.1,64,1.0,0.0,4.86
128,normal,z-score,0.5,64,1.0,0.0,4.62
2,xavier,none,0.01,8,1.0,0.0,5.45
2,xavier,none,0.01,16,1.0,0.0,3.12
2,xavier,none,0.01,32,1.0,0.0,2.14
2,xavier,none,0.01,64,1.0,0.0,1.61
2,xavier,none,0.1,8,1.0,0.0,5.45
2,xavier,none,0.1,16,1.0,0.0,3.08
2,xavier,none,0.1,32,1.0,0.0,2.12
2,xavier,none,0.1,64,1.0,0.0,1.65
2,normal,z-score,0.1,8,1.0,0.0,5.41
2,normal,z-score,0.1,16,1.0,0.0,3.1
2,normal,z-score,0.1,32,1.0,0.0,2.11
2,normal,z-score,0.1,64,1.0,0.0,1.62
2,normal,none,0.5,8,1.0,0.0,5.59
2,normal,none,0.5,16,1.0,0.0,3.19
2,normal,none,0.5,32,1.0,0.0,2.13
2,normal,none,0.5,64,1.0,0.0,1.63
2,normal,z-score,0.01,8,1.0,0.0,5.54
2,normal,z-score,0.01,16,1.0,0.0,3.07
2,normal,z-score,0.01,32,1.0,0.0,2.14
2,normal,z-score,0.01,64,1.0,0.0,1.63
2,normal,none,0.01,8,1.0,0.0,5.65
2,normal,none,0.01,16,1.0,0.0,3.3
2,normal,none,0.01,32,1.0,0.0,2.22
2,normal,none,0.01,64,1.0,0.0,1.65
2,normal,none,0.1,8,1.0,0.0,5.48
2,normal,none,0.1,16,1.0,0.0,3.21
2,normal,none,0.1,32,1.0,0.0,2.13
2,normal,none,0.1,64,1.0,0.0,1.7
2,normal,z-score,0.5,16,0.95,0.025,3.13
2,normal,z-score,0.5,32,0.95,0.025,2.08
2,normal,z-score,0.5,64,0.95,0.025,1.66
2,normal,z-score,0.5,8,0.9,0.05,5.58
128,normal,z-score,0.5,32,0.7,0.15,5.43
4,normal,z-score,0.01,16,0.6,0.2,3.16
4,normal,z-score,0.01,8,0.6,0.2,5.55
4,normal,z-score,0.01,32,0.6,0.2,2.21
32,normal,z-score,0.01,64,0.6,0.2,2.94
32,normal,z-score,0.01,32,0.6,0.2,3.6
32,normal,z-score,0.01,16,0.6,0.2,5.2
4,normal,z-score,0.01,64,0.6,0.2,1.76
32,normal,z-score,0.01,8,0.6,0.2,8.27
128,xavier,none,0.5,16,0.5,0.25,6.68
128,normal,z-score,0.5,8,0.5,0.25,10.49
128,normal,z-score,0.5,16,0.5,0.25,6.61
128,xavier,none,0.5,32,0.5,0.25,5.37
128,xavier,none,0.5,64,0.5,0.25,4.54
128,xavier,z-score,0.01,8,0.5,0.25,10.23
128,xavier,z-score,0.01,16,0.5,0.25,6.74
128,xavier,z-score,0.01,32,0.5,0.25,5.44
128,xavier,z-score,0.01,64,0.5,0.25,4.56
128,xavier,z-score,0.1,8,0.5,0.25,10.36
128,xavier,z-score,0.1,16,0.5,0.25,6.97
8,xavier,z-score,0.01,32,0.5,0.25,3.12
8,xavier,z-score,0.01,64,0.5,0.25,2.54
8,xavier,z-score,0.1,8,0.5,0.25,7.79
8,xavier,z-score,0.1,16,0.5,0.25,4.38
8,xavier,z-score,0.1,32,0.5,0.25,3.11
8,xavier,z-score,0.1,64,0.5,0.25,2.33
8,xavier,z-score,0.5,8,0.5,0.25,7.77
8,xavier,z-score,0.5,16,0.5,0.25,4.49
128,xavier,z-score,0.1,32,0.5,0.25,5.49
128,xavier,z-score,0.1,64,0.5,0.25,4.81
128,xavier,z-score,0.5,8,0.5,0.25,10.12
128,xavier,z-score,0.5,16,0.5,0.25,6.71
128,xavier,z-score,0.5,32,0.5,0.25,5.19
128,xavier,z-score,0.5,64,0.5,0.25,4.68
8,xavier,z-score,0.01,8,0.5,0.25,8.55
8,xavier,z-score,0.01,16,0.5,0.25,4.57
8,normal,z-score,0.01,16,0.5,0.25,5.67
8,normal,z-score,0.01,32,0.5,0.25,3.85
8,normal,z-score,0.01,64,0.5,0.25,2.91
8,normal,z-score,0.1,8,0.5,0.25,9.48
8,normal,z-score,0.1,16,0.5,0.25,5.32
8,normal,z-score,0.1,32,0.5,0.25,3.66
8,normal,z-score,0.1,64,0.5,0.25,3.02
8,normal,z-score,0.5,8,0.5,0.25,9.46
8,normal,z-score,0.5,16,0.5,0.25,5.39
8,normal,z-score,0.5,32,0.5,0.25,4.04
8,normal,z-score,0.5,64,0.5,0.25,2.97
16,normal,z-score,0.1,8,0.5,0.25,7.65
16,normal,z-score,0.1,16,0.5,0.25,4.56
16,normal,z-score,0.1,32,0.5,0.25,3.44
16,normal,z-score,0.1,64,0.5,0.25,2.66
16,normal,z-score,0.5,8,0.5,0.25,8.35
16,normal,z-score,0.5,16,0.5,0.25,4.73
16,normal,z-score,0.5,32,0.5,0.25,3.54
16,normal,z-score,0.5,64,0.5,0.25,2.59
16,xavier,z-score,0.01,8,0.5,0.25,7.95
16,xavier,z-score,0.01,16,0.5,0.25,4.49
16,xavier,z-score,0.01,32,0.5,0.25,3.29
16,xavier,z-score,0.01,64,0.5,0.25,2.6
16,xavier,z-score,0.1,8,0.5,0.25,8.05
8,xavier,z-score,0.5,32,0.5,0.25,3.04
8,xavier,z-score,0.5,64,0.5,0.25,2.48
16,normal,none,0.5,64,0.5,0.25,2.52
16,normal,z-score,0.01,8,0.5,0.25,8.16
16,normal,z-score,0.01,16,0.5,0.25,4.53
16,normal,z-score,0.01,32,0.5,0.25,3.27
16,normal,z-score,0.01,64,0.5,0.25,2.53
8,normal,z-score,0.01,8,0.5,0.25,10.08
32,normal,none,0.5,32,0.5,0.25,3.46
16,xavier,z-score,0.5,64,0.5,0.25,2.65
16,xavier,z-score,0.5,32,0.5,0.25,3.31
16,xavier,z-score,0.5,16,0.5,0.25,4.8
16,xavier,z-score,0.5,8,0.5,0.25,8.14
16,xavier,z-score,0.1,64,0.5,0.25,2.75
16,xavier,z-score,0.1,32,0.5,0.25,3.35
16,xavier,z-score,0.1,16,0.5,0.25,4.6
32,normal,z-score,0.1,64,0.5,0.25,2.88
32,normal,z-score,0.5,8,0.5,0.25,8.23
32,normal,z-score,0.5,16,0.5,0.25,4.92
32,normal,z-score,0.5,32,0.5,0.25,3.59
32,normal,none,0.5,64,0.5,0.25,2.96
32,normal,z-score,0.1,8,0.5,0.25,8.16
32,normal,z-score,0.1,16,0.5,0.25,4.94
32,normal,z-score,0.1,32,0.5,0.25,3.6
4,normal,z-score,0.1,64,0.5,0.25,1.69
4,normal,z-score,0.5,8,0.5,0.25,5.51
4,normal,z-score,0.5,16,0.5,0.25,3.15
4,normal,z-score,0.5,32,0.5,0.25,2.19
4,normal,z-score,0.5,64,0.5,0.25,1.69
4,xavier,z-score,0.01,8,0.5,0.25,5.7
4,xavier,z-score,0.01,16,0.5,0.25,3.22
4,xavier,z-score,0.01,32,0.5,0.25,2.2
4,xavier,z-score,0.01,64,0.5,0.25,1.74
4,xavier,z-score,0.1,8,0.5,0.25,6.81
4,xavier,z-score,0.1,16,0.5,0.25,5.82
4,xavier,z-score,0.1,32,0.5,0.25,3.77
32,normal,z-score,0.5,64,0.5,0.25,2.92
4,normal,z-score,0.1,8,0.5,0.25,5.64
4,normal,z-score,0.1,16,0.5,0.25,3.17
4,normal,z-score,0.1,32,0.5,0.25,2.18
4,xavier,z-score,0.5,32,0.5,0.25,3.65
4,xavier,z-score,0.5,16,0.5,0.25,5.27
4,xavier,z-score,0.5,8,0.5,0.25,9.62
4,xavier,z-score,0.1,64,0.5,0.25,2.92
2,xavier,z-score,0.01,64,0.5,0.25,1.66
2,xavier,z-score,0.01,8,0.5,0.25,5.44
2,xavier,z-score,0.01,16,0.5,0.25,3.09
4,xavier,z-score,0.5,64,0.5,0.25,2.79
2,xavier,z-score,0.1,32,0.5,0.25,2.16
2,xavier,z-score,0.1,16,0.5,0.25,3.15
2,xavier,z-score,0.1,8,0.5,0.25,5.44
2,xavier,z-score,0.1,64,0.5,0.25,1.68
2,xavier,z-score,0.5,32,0.5,0.25,2.13
2,xavier,z-score,0.5,16,0.5,0.25,3.11
2,xavier,z-score,0.5,8,0.5,0.25,5.5
2,xavier,z-score,0.01,32,0.5,0.25,2.13
2,xavier,z-score,0.5,64,0.5,0.25,1.66
32,xavier,z-score,0.01,8,0.5,0.25,8.21
32,xavier,z-score,0.01,16,0.5,0.25,5.08
32,xavier,z-score,0.01,32,0.5,0.25,3.75
32,xavier,z-score,0.01,64,0.5,0.25,2.89
32,xavier,z-score,0.1,8,0.5,0.25,8.44
32,xavier,z-score,0.1,16,0.5,0.25,4.9
32,xavier,z-score,0.1,32,0.5,0.25,3.48
32,xavier,z-score,0.1,64,0.5,0.25,2.94
32,xavier,z-score,0.5,8,0.5,0.25,8.5
32,xavier,z-score,0.5,16,0.5,0.25,5.21
32,xavier,z-score,0.5,32,0.5,0.25,3.8
32,xavier,z-score,0.5,64,0.5,0.25,3.1
128,normal,none,0.5,16,0.5,0.25,7.11
128,normal,none,0.5,32,0.5,0.25,5.4
128,normal,none,0.5,64,0.5,0.25,4.62
