Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Presicion(macro),Recall(macro),Accuracy(macro),F1-score(macro)
1024,Normal,none,0.01,32,TF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.11547050731334901,3617.482162952423,0.5970589287265406,0.5776369083381357,0.61,0.5697093000163289
1024,Xavier,none,0.5,32,TF-IDF,"(1, 2)",only_normalizar_texto,11,0.21016715282544046,399.9675302505493,0.2865,0.5,0.573,0.3642720915448188
1024,Normal,none,0.1,64,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,17,0.21017058566908886,344.0511713027954,0.2865,0.5,0.573,0.3642720915448188
1024,Xavier,none,0.1,64,TF,"(1, 1)",normalizar_txt_sin_StopWords,11,0.21016267026905325,230.97639179229736,0.2865,0.5,0.573,0.3642720915448188
1024,Xavier,none,0.5,64,TF-IDF,"(2, 2)",only_normalizar_texto,11,0.21016267026905325,222.1980857849121,0.2865,0.5,0.573,0.3642720915448188
1024,Xavier,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,24,0.21010881035325488,488.73622608184814,0.2865,0.5,0.573,0.3642720915448188
1024,Xavier,none,0.01,64,TF,"(2, 2)",only_normalizar_texto,19,0.21533094029790076,329.6941044330597,0.2135,0.5,0.427,0.299229152067274
1024,Normal,none,0.1,32,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0370357425363957,3258.0001389980316,0.6835131623430315,0.6841431963739062,0.69,0.6838025295797634
1024,Xavier,none,0.01,16,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.05252462688237799,6275.54594039917,0.7211138310893512,0.7215015265397207,0.727,0.7213008817305071
1024,Normal,none,0.1,16,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.05664028440227692,6348.800378322601,0.6807323229193776,0.678817677616064,0.688,0.6795911912224417
1024,Xavier,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,11,0.21016715260438806,394.1269950866699,0.2865,0.5,0.573,0.3642720915448188
1024,Normal,none,0.01,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.10418658880290056,1981.920991897583,0.5871114725997446,0.5814195388910006,0.601,0.5808995219733645
1024,Xavier,none,0.1,64,TF,"(2, 2)",only_normalizar_texto,11,0.21016267026905325,225.37963604927063,0.2865,0.5,0.573,0.3642720915448188
1024,Normal,none,0.01,32,TF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.09177141851281474,3596.8533425331116,0.66005698005698,0.6435090386682525,0.666,0.644111429350791
1024,Normal,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.05264476802669114,3597.656237602234,0.6919509986641168,0.6932125180344217,0.698,0.6924781374357971
1024,Normal,none,0.1,64,TF-IDF,"(2, 2)",only_normalizar_texto,37,0.21013979877524622,738.2302255630493,0.2865,0.5,0.573,0.3642720915448188
1024,Xavier,none,0.5,64,TF,"(1, 2)",normalizar_txt_sin_StopWords,11,0.21016267026905325,225.58023309707642,0.2865,0.5,0.573,0.3642720915448188
1024,Normal,none,0.5,16,TF,"(1, 1)",only_normalizar_texto,100,0.03860295200628343,6676.142870664597,0.7179263411056619,0.7173919263010329,0.724,0.7176470588235294
1024,Xavier,none,0.1,16,TF,"(1, 2)",normalizar_txt_sin_StopWords,11,0.289845809568169,728.0409054756165,0.2135,0.5,0.427,0.299229152067274
1024,Normal,none,0.5,64,TF,"(2, 2)",only_normalizar_texto,17,0.21017058566924973,348.82324290275574,0.2865,0.5,0.573,0.3642720915448188
