Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Presicion(macro),Recall(macro),Accuracy(macro),F1-score(macro)
128,Xavier,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0444624428626018,205.28511929512024,0.7305055646933115,0.735412043110953,0.732,0.7300955542306515
128,Xavier,none,0.01,16,TF,"(1, 2)",only_normalizar_texto,100,0.0093569109154962,895.0006563663483,0.7211098684817073,0.7254476419354972,0.724,0.7214327239842387
128,Normal,none,0.5,64,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0371319113579636,408.09542751312256,0.7058989046327002,0.7093525591508597,0.71,0.7065775201955611
128,Normal,none,0.5,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0339778428024339,383.2954168319702,0.7011363636363637,0.7025577203673504,0.707,0.7017237921595095
128,Normal,none,0.5,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0341759172657689,632.3273720741272,0.6994072437037615,0.698403161796862,0.706,0.6988581191538528
128,Normal,none,0.1,64,TF-IDF,"(1, 2)",only_normalizar_texto,100,0.0171037450636315,316.9475405216217,0.6878741669490569,0.6903413154807885,0.693,0.6885901247566794
128,Normal,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0275166998868982,433.8383469581604,0.6730015192362715,0.6754621512153054,0.678,0.6736080701925105
128,Normal,none,0.1,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0246520776392901,1162.6559388637545,0.6715373384654367,0.6743136701938521,0.676,0.6720315821439418
128,Xavier,none,0.01,16,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.0697642142779976,1063.6102550029757,0.6652714483851793,0.6636401535122676,0.673,0.6642982756018763
128,Normal,none,0.5,32,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0276668101787164,625.5071032047272,0.6618928471808792,0.6589338335969526,0.67,0.6599396547460059
128,Normal,none,0.1,16,TF,"(1, 2)",only_normalizar_texto,100,0.0229529893642319,809.3649213314056,0.6552670191967679,0.6561300685410204,0.662,0.6556305425143454
128,Normal,none,0.1,16,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.0215223570491663,573.5075948238373,0.6330991569650742,0.6355084991682709,0.637,0.6331076389415307
128,Normal,none,0.01,64,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.1073342068736979,263.2290060520172,0.6094165594165595,0.6042420229614462,0.621,0.6047105156389662
128,Normal,none,0.01,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.1109523870080689,206.11298179626465,0.6099151989562948,0.601235945412411,0.622,0.6008869179600886
128,Normal,none,0.5,16,TF-IDF,"(2, 2)",only_normalizar_texto,16,0.2101722279081698,149.22500920295715,0.2865,0.5,0.573,0.3642720915448188
128,Normal,none,0.5,64,TF,"(2, 2)",normalizar_txt_sin_StopWords,18,0.2101450754272736,119.55355715751648,0.2865,0.5,0.573,0.3642720915448188
128,Xavier,none,0.1,64,TF-IDF,"(1, 2)",only_normalizar_texto,18,0.2101447187292301,91.5883719921112,0.2865,0.5,0.573,0.3642720915448188
128,Xavier,none,0.5,16,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,16,0.2101714051942909,91.459290266037,0.2865,0.5,0.573,0.3642720915448188
128,Normal,none,0.5,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,15,0.2898232568698464,49.01484489440918,0.2135,0.5,0.427,0.299229152067274
128,Xavier,none,0.5,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,11,0.2898188604638052,27.87111639976501,0.2135,0.5,0.427,0.299229152067274
