Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
32,xavier,z-score,0.5,16,0.75,0.125,0.21
32,xavier,z-score,0.5,8,0.75,0.125,0.22
32,xavier,z-score,0.1,64,0.75,0.125,0.22
32,xavier,z-score,0.1,32,0.75,0.125,0.3
32,xavier,z-score,0.1,16,0.75,0.125,0.22
32,xavier,z-score,0.1,8,0.75,0.125,0.23
128,normal,z-score,0.01,8,0.75,0.125,0.24
128,normal,z-score,0.01,16,0.75,0.125,0.3
128,normal,z-score,0.01,32,0.75,0.125,0.25
128,normal,z-score,0.01,64,0.75,0.125,0.24
2,xavier,z-score,0.1,64,0.75,0.125,0.2
2,xavier,z-score,0.1,32,0.75,0.125,0.22
2,xavier,z-score,0.1,16,0.75,0.125,0.21
2,xavier,z-score,0.1,8,0.75,0.125,0.21
8,normal,z-score,0.01,64,0.75,0.125,0.2
8,normal,z-score,0.01,32,0.75,0.125,0.22
8,normal,z-score,0.01,16,0.75,0.125,0.23
8,normal,z-score,0.01,8,0.75,0.125,0.21
16,xavier,z-score,0.5,64,0.75,0.125,0.3
16,xavier,z-score,0.5,32,0.75,0.125,0.23
16,xavier,z-score,0.5,16,0.75,0.125,0.21
16,xavier,z-score,0.5,8,0.75,0.125,0.2
16,xavier,z-score,0.1,64,0.75,0.125,0.2
16,xavier,z-score,0.1,32,0.75,0.125,0.2
16,xavier,z-score,0.1,16,0.75,0.125,0.21
16,xavier,z-score,0.1,8,0.75,0.125,0.21
8,normal,none,0.01,8,0.75,0.125,0.21
8,normal,none,0.01,16,0.75,0.125,0.21
8,normal,none,0.01,32,0.75,0.125,0.21
8,normal,none,0.01,64,0.75,0.125,0.23
16,normal,z-score,0.01,8,0.75,0.125,0.23
16,normal,z-score,0.01,16,0.75,0.125,0.28
16,normal,z-score,0.01,32,0.75,0.125,0.2
16,normal,z-score,0.01,64,0.75,0.125,0.21
32,normal,none,0.01,8,0.75,0.125,0.22
32,normal,none,0.01,16,0.75,0.125,0.23
32,normal,none,0.01,32,0.75,0.125,0.24
32,normal,none,0.01,64,0.75,0.125,0.25
128,xavier,z-score,0.1,8,0.75,0.125,0.28
128,xavier,z-score,0.1,16,0.75,0.125,0.31
128,xavier,z-score,0.1,32,0.75,0.125,0.3
128,xavier,z-score,0.1,64,0.75,0.125,0.33
16,normal,z-score,0.5,64,0.75,0.125,0.2
16,normal,z-score,0.5,32,0.75,0.125,0.3
16,normal,z-score,0.5,16,0.75,0.125,0.2
16,normal,z-score,0.5,8,0.75,0.125,0.21
16,normal,z-score,0.1,8,0.75,0.125,0.21
16,normal,z-score,0.1,16,0.75,0.125,0.26
16,normal,z-score,0.1,32,0.75,0.125,0.22
16,normal,z-score,0.1,64,0.75,0.125,0.21
128,xavier,z-score,0.01,64,0.75,0.125,0.32
128,xavier,z-score,0.01,32,0.75,0.125,0.33
128,xavier,z-score,0.01,16,0.75,0.125,0.34
128,xavier,z-score,0.01,8,0.75,0.125,0.24
