Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Accuracy(macro),F1-score(macro),Presicion(macro),Recall(macro)
128,Normal,none,0.1,16,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.0161591338634574,462.78199887275696,0.694,0.689970861313632,0.6900614671013152,0.6898859290945623
128,Normal,none,0.01,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.1021359568811505,130.0791721343994,0.642,0.6138496386581814,0.6445025562672622,0.6195314019055026
128,Xavier,none,0.5,16,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,11,0.2063017131066078,30.990189790725708,0.556,0.3573264781491002,0.278,0.5
128,Xavier,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0508070735759007,154.69054079055786,0.784,0.7801696764423312,0.7820034067085954,0.7789876207142394
128,Normal,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0234345004073657,310.24330615997314,0.736,0.7323991631392011,0.7326298701298701,0.7321926242789552
128,Xavier,none,0.5,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,11,0.2936665129666893,17.941863775253296,0.444,0.3074792243767313,0.222,0.5
256,Normal,none,0.1,16,TF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.0450076944830145,812.1656465530396,0.612,0.6083909308184225,0.6421620478104506,0.6306630371378572
256,Normal,none,0.01,32,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.0850093625711494,338.96862053871155,0.656,0.636431277056277,0.6555628606910658,0.638019314278307
256,Normal,none,0.01,64,TF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0758528909799572,242.06742668151853,0.708,0.7003284072249589,0.705231119138404,0.6988463283427313
256,Normal,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0767798602504768,223.75161695480347,0.706,0.7018485390578414,0.7021644810607908,0.7015846782033832
